#nsam	1	2	3	4	5	6	7	8	9	10
8	1.32e-07	1.15e-07	1.09e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	2.52e-07	2.37e-07	1.92e-07	1.78e-07	NaN	NaN	NaN	NaN	NaN	NaN
32	3.50e-07	4.24e-07	3.75e-07	3.33e-07	2.93e-07	NaN	NaN	NaN	NaN	NaN
64	3.50e-07	5.56e-07	7.80e-07	6.89e-07	6.12e-07	5.49e-07	NaN	NaN	NaN	NaN
128	3.47e-07	5.53e-07	9.96e-07	1.45e-06	1.34e-06	1.17e-06	1.00e-06	NaN	NaN	NaN
256	3.45e-07	5.69e-07	9.96e-07	1.81e-06	2.73e-06	2.57e-06	2.26e-06	1.94e-06	NaN	NaN
512	3.47e-07	5.52e-07	9.93e-07	1.81e-06	3.37e-06	5.38e-06	5.08e-06	4.39e-06	3.84e-06	NaN
1024	3.49e-07	5.48e-07	9.97e-07	1.84e-06	3.35e-06	6.38e-06	1.05e-05	1.02e-05	8.87e-06	7.57e-06
2048	3.45e-07	5.60e-07	9.85e-07	1.81e-06	3.39e-06	6.42e-06	1.24e-05	2.08e-05	2.00e-05	1.74e-05
4096	3.42e-07	5.57e-07	1.00e-06	1.81e-06	3.40e-06	6.45e-06	1.21e-05	2.30e-05	4.12e-05	3.99e-05
