#f	w	pre_vpp	amp_vpp	pre_rms	amp_rms	dt_ns	rad	deg	k_vpp	db_vpp	k_rms	db_rms
100	628.319	971	3177	349	1150	320	-0.0002011	-0.0115200	3.2718847	10.2959597	3.2951289	10.3574483
200	1256.637	966	3146	349	1150	320	-0.0004021	-0.0230400	3.2567288	10.2556318	3.2951289	10.3574483
300	1884.956	961	3136	349	1150	320	-0.0006032	-0.0345600	3.2632674	10.2730533	3.2951289	10.3574483
400	2513.274	962	3136	349	1150	320	-0.0008042	-0.0460800	3.2598753	10.2640196	3.2951289	10.3574483
500	3141.593	959	3125	349	1150	320	-0.0010053	-0.0576000	3.2586027	10.2606283	3.2951289	10.3574483
600	3769.911	957	3136	349	1150	340	-0.0012818	-0.0734400	3.2769070	10.3092823	3.2951289	10.3574483
700	4398.230	961	3136	349	1150	340	-0.0014954	-0.0856800	3.2632674	10.2730533	3.2951289	10.3574483
800	5026.548	958	3136	349	1150	360	-0.0018096	-0.1036800	3.2734864	10.3002109	3.2951289	10.3574483
900	5654.867	960	3136	349	1150	360	-0.0020358	-0.1166400	3.2666667	10.2820964	3.2951289	10.3574483
1000	6283.185	956	3136	349	1150	380	-0.0023876	-0.1368000	3.2803347	10.3183632	3.2951289	10.3574483
2000	12566.371	955	3136	349	1150	380	-0.0047752	-0.2736000	3.2837696	10.3274536	3.2951289	10.3574483
3000	18849.556	951	3125	349	1150	400	-0.0075398	-0.4320000	3.2860147	10.3333901	3.2951289	10.3574483
4000	25132.741	952	3136	348	1150	400	-0.0100531	-0.5760000	3.2941176	10.3547821	3.3045977	10.3823719
5000	31415.927	957	3136	348	1150	400	-0.0125664	-0.7200000	3.2769070	10.3092823	3.3045977	10.3823719
6000	37699.112	954	3125	348	1150	400	-0.0150796	-0.8640000	3.2756813	10.3060329	3.3045977	10.3823719
7000	43982.297	949	3125	347	1150	400	-0.0175929	-1.0080000	3.2929399	10.3516762	3.3141210	10.4073673
8000	50265.482	956	3125	347	1150	420	-0.0211115	-1.2096000	3.2688285	10.2878426	3.3141210	10.4073673
9000	56548.668	956	3125	347	1150	420	-0.0237504	-1.3608000	3.2688285	10.2878426	3.3141210	10.4073673
10000	62831.853	951	3136	346	1150	420	-0.0263894	-1.5120000	3.2975815	10.3639107	3.3236994	10.4324348
20000	125663.706	952	3114	346	1150	420	-0.0527788	-3.0240000	3.2710084	10.2936332	3.3236994	10.4324348
30000	188495.559	949	3114	346	1150	420	-0.0791681	-4.5360000	3.2813488	10.3210479	3.3236994	10.4324348
40000	251327.412	946	3125	346	1160	420	-0.1055575	-6.0480000	3.3033827	10.3791777	3.3526012	10.5076378
50000	314159.265	947	3125	346	1160	440	-0.1382301	-7.9200000	3.2998944	10.3700009	3.3526012	10.5076378
60000	376991.118	945	3136	346	1160	470	-0.1771858	-10.1520000	3.3185185	10.4188849	3.3526012	10.5076378
70000	439822.972	943	3125	346	1160	510	-0.2243097	-12.8520000	3.3138918	10.4067666	3.3526012	10.5076378
80000	502654.825	945	3136	345	1160	560	-0.2814867	-16.1280000	3.3185185	10.4188849	3.3623188	10.5327779
90000	565486.678	945	3125	345	1140	630	-0.3562566	-20.4120000	3.3068783	10.3883643	3.3043478	10.3817151
100000	628318.531	941	3114	345	1110	730	-0.4586725	-26.2800000	3.3092455	10.3945797	3.2173913	10.1500777
125000	785398.163	944	2816	345	956	985	-0.7736172	-44.3250000	2.9830508	9.4932131	2.7710145	8.8527759
150000	942477.796	939	2372	345	804	1070	-1.0084512	-57.7800000	2.5260916	8.0489818	2.3304348	7.3487391
175000	1099557.429	947	2042	345	687	1070	-1.1765264	-67.4100000	2.1562830	6.6741152	1.9913043	5.9827528
200000	1256637.061	935	1763	344	601	1040	-1.3069025	-74.8800000	1.8855615	5.5088140	1.7470930	4.8463206
225000	1413716.694	938	1568	344	532	995	-1.4066481	-80.5950000	1.6716418	4.4628644	1.5465116	3.7870638
250000	1570796.327	941	1392	344	476	950	-1.4922565	-85.5000000	1.4792774	3.4009922	1.3837209	2.8209702
