#freq	omega
5	31.413179515689
100	628.300073967
200	1256.59845943
300	1884.89856506
400	2513.19878438
500	3141.49903174
600	3769.79783314361
700	4398.09918783246
800	5026.39874241
900	5654.69931274
1000	6282.994934799
2000	12565.984056005
3000	18848.975570755
4000	25131.969008245
5000	31414.960278306
6000	37697.951852306
7000	43980.946687428
8000	50263.933273409
9000	56546.929904959
10000	62829.922425510
11000	69112.914668061
12000	75395.906910612
13000	81678.899158163
14000	87961.887002285
15000	94244.878931020
16000	100527.870859755
17000	106810.86275449
18000	113093.854681225
19000	119376.84660796
20000	125659.840204933
